1    a0peysza                                 A T O M I C   M A S S   A D J U S T M E N T
0                                                     DATE 18 Nov 2003 TIME 14:12
0        *********************                               A=   0 TO 293
         * file : mass.mas03 *
         *********************

   This is one file out of a series of 3 files published in:
       "The Ame2003 atomic mass evaluation (II)"  by G.Audi, A.H.Wapstra and C.Thibault
           Nuclear Physics A729 p. 337-676, December 22, 2003.
                       for files : mass.mas03  atomic masses
                                   rct1.mas03  react and sep energies,  part 1
                                   rct2.mas03  react and sep energies,  part 2

   A fourth file  is the "Rounded" version of the atomic mass table (the first file)
                                   mass.mas03round  atomic masses "Rounded" version

   All files are 3179 lines long with 124 character per line.
       Headers are 39 lines long.

   Values in the files 1, 2 and 3 are exact (unrounded) copy of the published ones
   Values in the files 4          are exact             copy of the published ones

   col 1     :  Fortran character control: 1 = page feed  0 = line feed
   format    :  a1,i3,i5,i5,i5,1x,a3,a4,1x,f13.5,f11.5,f11.3,f9.3,1x,a2,f11.3,f9.3,1x,i3,1x,f12.5,f11.3,1x
                cc NZ  N  Z  A    el  o     mass  unc binding unc     B  beta  unc    atomic_mass   unc
   Warnings  :  this format is not identical to the one used in Ame1993 and Ame1995
                      in particular "Mass Excess" and "Atomic Mass" values are given now, when necessary,
                      with 5 digits after decimal point.
                      also, the "Binding Energy" column is replaced by a "Binding Energy per A" one.
                decimal point is replaced by # for (non-experimental) estimated values.
                * in place of value : not calculable

....+....1....+....2....+....3....+....4....+....5....+....6....+....7....+....8....+....9....+...10....+...11....+...12....

                                                               MASS LIST
                                                             for analysis

Data from NNDC sorted according N,Z, ElementName, MassExcess (keV), Binding Energy / A (keV)-Exp, Spin,Bind_Coul/A,Bind/A (RMF)
The table below is a combination of the NNDC files "mass.mass03" and "nubtab03.asc.mod.dat"

Two new columns added: binding energy from RMF Model with and without Coulomb field.
		       For nuclei heavier with A>39 an average of 10.5 MeV (14 MeV) is used in RMF-model.

  N    Z  Element  MassExcess(keV) BindEn/A(keV)    Spin       BindEn/A(keV)  BindEn/A (keV) - last two columns: RMF results
  72   46 118Pd   -75465.64062    8405.87402       0.0000   10500.00000   14000.00000
  71   47 118Ag   -79565.64062    8433.99023       1.0000   10500.00000   14000.00000
  70   48 118Cd   -86708.55469    8487.89258       0.0000   10500.00000   14000.00000
  69   49 118In   -87230.34375    8485.68457       1.0000   10500.00000   14000.00000
  68   50 118Sn   -91656.06250    8516.56055       0.0000   10500.00000   14000.00000
  67   51 118Sb   -87999.42188    8478.94238       1.0000   10500.00000   14000.00000
  66   52 118Te   -87721.04688    8469.95312       0.0000   10500.00000   14000.00000
  65   53 118I    -80971.04688    8406.11914       2.0000   10500.00000   14000.00000
  64   54 118Xe   -78079.07812    8374.98145       0.0000   10500.00000   14000.00000
  63   55 118Cs   -68409.39062    8286.40527       2.0000   10500.00000   14000.00000
  62   56 118Ba   -62373.00000    8229.00000       0.0000   10500.00000   14000.00000
  74   45 119Rh   -63239.00000    8307.00000       3.5000   10500.00000   14000.00000
  72   47 119Ag   -78557.49219    8422.46973       0.5000   10500.00000   14000.00000
  71   48 119Cd   -83907.49219    8460.85352       1.5000   10500.00000   14000.00000
  70   49 119In   -87704.49219    8486.18652       4.5000   10500.00000   14000.00000
  69   50 119Sn   -90068.35938    8499.47656       0.5000   10500.00000   14000.00000
  68   51 119Sb   -89477.44531    8487.93652       2.5000   10500.00000   14000.00000
  67   52 119Te   -87184.44531    8462.09375       0.5000   10500.00000   14000.00000
  66   53 119I    -83765.53125    8426.78906       2.5000   10500.00000   14000.00000
  65   54 119Xe   -78794.43750    8378.44141       2.5000   10500.00000   14000.00000
  64   55 119Cs   -72305.07812    8317.33398       4.5000   10500.00000   14000.00000
  63   56 119Ba   -64590.10938    8245.92773       2.5000   10500.00000   14000.00000
  62   57 119La   -54967.00000    8158.00000       5.5000   10500.00000   14000.00000
  61   58 119Ce   -44004.00000    8060.00000       2.5000   10500.00000   14000.00000
  76   44 120Ru   -50943.00000    8209.00000       0.0000   10500.00000   14000.00000
  74   46 120Pd   -70149.06250    8355.99316       0.0000   10500.00000   14000.00000
  73   47 120Ag   -75649.06250    8395.30664       3.0000   10500.00000   14000.00000
  72   48 120Cd   -83974.06250    8458.16211       0.0000   10500.00000   14000.00000
  71   49 120In   -85735.07031    8466.31836       1.0000   10500.00000   14000.00000
  70   50 120Sn   -91105.07031    8504.54785       0.0000   10500.00000   14000.00000
  69   51 120Sb   -88424.46875    8475.69043       1.0000   10500.00000   14000.00000
  68   52 120Te   -89404.58594    8477.33789       0.0000   10500.00000   14000.00000
  67   53 120I    -83789.58594    8424.02734       2.0000   10500.00000   14000.00000
  66   54 120Xe   -82172.44531    8404.03223       0.0000   10500.00000   14000.00000
  65   55 120Cs   -73888.66406    8328.48047       2.0000   10500.00000   14000.00000
  64   56 120Ba   -68888.66406    8280.29395       0.0000   10500.00000   14000.00000
  62   58 120Ce   -49705.00000    8107.00000       0.0000   10500.00000   14000.00000
  76   45 121Rh   -57082.00000    8252.00000       3.5000   10500.00000   14000.00000
  74   47 121Ag   -74661.06250    8384.46387       3.5000   10500.00000   14000.00000
  73   48 121Cd   -81061.06250    8430.89062       1.5000   10500.00000   14000.00000
  72   49 121In   -85841.06250    8463.92871       4.5000   10500.00000   14000.00000
  71   50 121Sn   -89204.07812    8485.25684       1.5000   10500.00000   14000.00000
  70   51 121Sb   -89595.10938    8482.02344       2.5000   10500.00000   14000.00000
  69   52 121Te   -88551.14844    8466.92969       0.5000   10500.00000   14000.00000
  68   53 121I    -86287.25781    8441.75391       2.5000   10500.00000   14000.00000
  67   54 121Xe   -82472.77344    8403.76367       2.5000   10500.00000   14000.00000
  66   55 121Cs   -77100.49219    8352.89941       1.5000   10500.00000   14000.00000
  65   56 121Ba   -70742.78125    8293.88965       2.5000   10500.00000   14000.00000
  64   57 121La   -62401.00000    8218.00000       5.5000   10500.00000   14000.00000
  63   58 121Ce   -52704.00000    8132.00000       2.5000   10500.00000   14000.00000
  62   59 121Pr   -41579.00000    8033.00000       1.5000   10500.00000   14000.00000
  76   46 122Pd   -64692.00000    8307.00000       0.0000   10500.00000   14000.00000
  75   47 122Ag   -71231.00000    8354.00000       3.0000   10500.00000   14000.00000
  74   48 122Cd   -80730.32031    8425.23340       0.0000   10500.00000   14000.00000
  73   49 122In   -83577.35938    8442.15625       1.0000   10500.00000   14000.00000
  72   50 122Sn   -89945.95312    8487.94531       0.0000   10500.00000   14000.00000
  71   51 122Sb   -88330.17188    8468.28809       2.0000   10500.00000   14000.00000
  70   52 122Te   -90314.03125    8478.13672       0.0000   10500.00000   14000.00000
  69   53 122I    -86080.03125    8437.01855       1.0000   10500.00000   14000.00000
  68   54 122Xe   -85355.00000    8424.66406       0.0000   10500.00000   14000.00000
  67   55 122Cs   -78139.83594    8359.11035       1.0000   10500.00000   14000.00000
  66   56 122Ba   -74608.94531    8323.75586       0.0000   10500.00000   14000.00000
  64   58 122Ce   -57836.00000    8173.00000       0.0000   10500.00000   14000.00000
  76   47 123Ag   -69955.00000    8341.00000       3.5000   10500.00000   14000.00000
  75   48 123Cd   -77311.21094    8394.55762       1.5000   10500.00000   14000.00000
  74   49 123In   -83426.21094    8437.91211       4.5000   10500.00000   14000.00000
  73   50 123Sn   -87820.47656    8467.27832       5.5000   10500.00000   14000.00000
  72   51 123Sb   -89224.10938    8472.32910       3.5000   10500.00000   14000.00000
  71   52 123Te   -89171.89062    8465.54395       0.5000   10500.00000   14000.00000
  70   53 123I    -87943.31250    8449.19531       2.5000   10500.00000   14000.00000
  69   54 123Xe   -85248.55469    8420.92578       0.5000   10500.00000   14000.00000
  68   55 123Cs   -81043.67188    8380.37891       0.5000   10500.00000   14000.00000
  67   56 123Ba   -75654.97656    8330.20801       2.5000   10500.00000   14000.00000
  66   57 123La   -68707.00000    8267.00000       5.5000   10500.00000   14000.00000
  65   58 123Ce   -60175.00000    8192.00000       2.5000   10500.00000   14000.00000
  64   59 123Pr   -50338.00000    8105.00000       1.5000   10500.00000   14000.00000
  78   46 124Pd   -58796.00000    8255.00000       0.0000   10500.00000   14000.00000
  77   47 124Ag   -66471.00000    8311.00000       3.0000   10500.00000   14000.00000
  76   48 124Cd   -76710.75000    8387.10840       0.0000   10500.00000   14000.00000
  75   49 124In   -80876.75000    8414.39648       3.0000   10500.00000   14000.00000
  74   50 124Sn   -88236.75000    8467.44141       0.0000   10500.00000   14000.00000
  73   51 124Sb   -87620.28906    8456.16113       3.0000   10500.00000   14000.00000
  72   52 124Te   -90524.54688    8473.27344       0.0000   10500.00000   14000.00000
  71   53 124I    -87364.96094    8441.48340       2.0000   10500.00000   14000.00000
  70   54 124Xe   -87660.10156    8437.55371       0.0000   10500.00000   14000.00000
  69   55 124Cs   -81731.33594    8383.43164       1.0000   10500.00000   14000.00000
  68   56 124Ba   -79089.79688    8355.82031       0.0000   10500.00000   14000.00000
  67   57 124La   -70258.60938    8278.29199       7.0000   10500.00000   14000.00000
  66   58 124Ce   -64823.00000    8228.00000       0.0000   10500.00000   14000.00000
  64   60 124Nd   -44497.00000    8052.00000       0.0000   10500.00000   14000.00000
  78   47 125Ag   -64804.00000    8296.00000       3.5000   10500.00000   14000.00000
  77   48 125Cd   -73358.53125    8357.76367       1.5000   10500.00000   14000.00000
  76   49 125In   -80480.53125    8408.48242       4.5000   10500.00000   14000.00000
  75   50 125Sn   -85898.53125    8445.56738       5.5000   10500.00000   14000.00000
  74   51 125Sb   -88255.50000    8458.16406       3.5000   10500.00000   14000.00000
  73   52 125Te   -89022.20312    8458.03906       0.5000   10500.00000   14000.00000
  72   53 125I    -88836.42969    8450.29395       2.5000   10500.00000   14000.00000
  71   54 125Xe   -87192.06250    8430.87988       0.5000   10500.00000   14000.00000
  70   55 125Cs   -84087.57812    8399.78516       0.5000   10500.00000   14000.00000
  69   56 125Ba   -79667.96875    8358.16992       0.5000   10500.00000   14000.00000
  68   57 125La   -73759.39062    8304.64160       5.5000   10500.00000   14000.00000
  67   58 125Ce   -66658.00000    8242.00000       3.5000   10500.00000   14000.00000
  66   59 125Pr   -57911.00000    8165.00000       1.5000   10500.00000   14000.00000
  65   60 125Nd   -47618.00000    8077.00000       2.5000   10500.00000   14000.00000
  79   47 126Ag   -61013.00000    8264.00000       3.0000   10500.00000   14000.00000
  78   48 126Cd   -72327.41406    8347.30664       0.0000   10500.00000   14000.00000
  77   49 126In   -77813.41406    8384.63770       3.0000   10500.00000   14000.00000
  76   50 126Sn   -86020.41406    8443.56445       0.0000   10500.00000   14000.00000
  75   51 126Sb   -86398.41406    8440.35547       8.0000   10500.00000   14000.00000
  74   52 126Te   -90064.57812    8463.24219       0.0000   10500.00000   14000.00000
  73   53 126I    -87910.53906    8439.93652       2.0000   10500.00000   14000.00000
  72   54 126Xe   -89168.53906    8443.71191       0.0000   10500.00000   14000.00000
  71   55 126Cs   -84344.93750    8399.22070       1.0000   10500.00000   14000.00000
  70   56 126Ba   -82669.92969    8379.71777       0.0000   10500.00000   14000.00000
  69   57 126La   -74973.46875    8312.42578       5.0000   10500.00000   14000.00000
  68   58 126Ce   -70820.55469    8273.25684       0.0000   10500.00000   14000.00000
  67   59 126Pr   -60258.00000    8183.00000       4.0000   10500.00000   14000.00000
  66   60 126Nd   -52890.00000    8119.00000       0.0000   10500.00000   14000.00000
  80   47 127Ag   -58898.00000    8246.00000       3.5000   10500.00000   14000.00000
  79   48 127Cd   -68517.10156    8315.13184       1.5000   10500.00000   14000.00000
  78   49 127In   -76985.10156    8375.64941       4.5000   10500.00000   14000.00000
  77   50 127Sn   -83499.10156    8420.78027       5.5000   10500.00000   14000.00000
  76   51 127Sb   -86700.10156    8439.82422       3.5000   10500.00000   14000.00000
  75   52 127Te   -88281.10156    8446.11328       1.5000   10500.00000   14000.00000
  74   53 127I    -88983.12500    8445.48145       2.5000   10500.00000   14000.00000
  73   54 127Xe   -88320.79688    8434.10547       0.5000   10500.00000   14000.00000
  72   55 127Cs   -86240.02344    8411.56055       0.5000   10500.00000   14000.00000
  71   56 127Ba   -82815.59375    8378.43652       0.5000   10500.00000   14000.00000
  70   57 127La   -77895.76562    8333.53809       5.5000   10500.00000   14000.00000
  69   58 127Ce   -71975.60938    8280.76172       2.5000   10500.00000   14000.00000
  68   59 127Pr   -64431.00000    8215.00000       1.5000   10500.00000   14000.00000
  67   60 127Nd   -55424.00000    8138.00000       2.5000   10500.00000   14000.00000
  66   61 127Pm   -45056.00000    8050.00000       2.5000   10500.00000   14000.00000
  80   48 128Cd   -67289.00000    8303.63184       0.0000   10500.00000   14000.00000
  79   49 128In   -74359.00000    8352.75488       3.0000   10500.00000   14000.00000
  78   50 128Sn   -83334.60156    8416.76465       0.0000   10500.00000   14000.00000
  77   51 128Sb   -84608.53125    8420.60547       8.0000   10500.00000   14000.00000
  76   52 128Te   -88992.09375    8448.74023       0.0000   10500.00000   14000.00000
  75   53 128I    -87737.93750    8432.82910       1.0000   10500.00000   14000.00000
  74   54 128Xe   -89860.03906    8443.29590       0.0000   10500.00000   14000.00000
  73   55 128Cs   -85931.37500    8406.49121       1.0000   10500.00000   14000.00000
  72   56 128Ba   -85401.51562    8396.24023       0.0000   10500.00000   14000.00000
  71   57 128La   -78631.89844    8337.24023       5.0000   10500.00000   14000.00000
  70   58 128Ce   -75533.92188    8306.92480       0.0000   10500.00000   14000.00000
  69   59 128Pr   -66330.75781    8228.91309       3.0000   10500.00000   14000.00000
  68   60 128Nd   -60184.00000    8175.00000       0.0000   10500.00000   14000.00000
  67   61 128Pm   -48046.00000    8074.00000       6.0000   10500.00000   14000.00000
  66   62 128Sm   -39048.00000    7997.00000       0.0000   10500.00000   14000.00000
  82   47 129Ag   -52452.00000    8193.00000       3.5000   10500.00000   14000.00000
  81   48 129Cd   -63202.00000    8270.00000       1.5000   10500.00000   14000.00000
  80   49 129In   -72938.79688    8339.56445       4.5000   10500.00000   14000.00000
  79   50 129Sn   -80593.79688    8392.83984       1.5000   10500.00000   14000.00000
  78   51 129Sb   -84627.67969    8418.04590       3.5000   10500.00000   14000.00000
  77   52 129Te   -87003.17969    8430.39648       1.5000   10500.00000   14000.00000
  76   53 129I    -88503.36719    8435.95996       3.5000   10500.00000   14000.00000
  75   54 129Xe   -88697.38281    8431.40039       0.5000   10500.00000   14000.00000
  74   55 129Cs   -87500.42188    8416.05566       0.5000   10500.00000   14000.00000
  73   56 129Ba   -85064.55469    8391.10938       0.5000   10500.00000   14000.00000
  72   57 129La   -81326.11719    8356.06445       1.5000   10500.00000   14000.00000
  71   58 129Ce   -76287.49219    8310.94043       2.5000   10500.00000   14000.00000
  70   59 129Pr   -69773.56250    8254.37988       1.5000   10500.00000   14000.00000
  69   60 129Nd   -62235.00000    8190.00000       2.5000   10500.00000   14000.00000
  68   61 129Pm   -52946.00000    8112.00000       2.5000   10500.00000   14000.00000
  67   62 129Sm   -42253.00000    8023.00000       2.5000   10500.00000   14000.00000
  83   47 130Ag   -46157.00000    8144.00000       0.0000   10500.00000   14000.00000
  82   48 130Cd   -61569.94922    8256.06641       0.0000   10500.00000   14000.00000
  81   49 130In   -69889.94531    8314.04785       1.0000   10500.00000   14000.00000
  80   50 130Sn   -80138.94531    8386.86816       0.0000   10500.00000   14000.00000
  79   51 130Sb   -82291.60156    8397.40918       8.0000   10500.00000   14000.00000
  78   52 130Te   -87351.40625    8430.31152       0.0000   10500.00000   14000.00000
  77   53 130I    -86932.38281    8421.07129       5.0000   10500.00000   14000.00000
  76   54 130Xe   -89881.71094    8437.74023       0.0000   10500.00000   14000.00000
  75   55 130Cs   -86900.42188    8408.78906       1.0000   10500.00000   14000.00000
  74   56 130Ba   -87261.60156    8405.54883       0.0000   10500.00000   14000.00000
  73   57 130La   -81628.00781    8356.19629       3.0000   10500.00000   14000.00000
  72   58 130Ce   -79422.90625    8333.21582       0.0000   10500.00000   14000.00000
  71   59 130Pr   -71175.45312    8263.75586       6.0000   10500.00000   14000.00000
  70   60 130Nd   -66596.23438    8222.51270       0.0000   10500.00000   14000.00000
  69   61 130Pm   -55470.00000    8131.00000       5.0000   10500.00000   14000.00000
  68   62 130Sm   -47581.00000    8064.00000       0.0000   10500.00000   14000.00000
  67   63 130Eu   -33936.00000    7953.00000       2.0000   10500.00000   14000.00000
  83   48 131Cd   -55266.00000    8207.00000       3.5000   10500.00000   14000.00000
  82   49 131In   -68137.14062    8298.81445       4.5000   10500.00000   14000.00000
  81   50 131Sn   -77314.21875    8362.89648       1.5000   10500.00000   14000.00000
  80   51 131Sb   -81987.98438    8392.60156       3.5000   10500.00000   14000.00000
  79   52 131Te   -85209.47656    8411.22070       1.5000   10500.00000   14000.00000
  78   53 131I    -87444.35938    8422.30859       3.5000   10500.00000   14000.00000
  77   54 131Xe   -88415.21094    8423.74805       1.5000   10500.00000   14000.00000
  76   55 131Cs   -88059.78906    8415.06348       2.5000   10500.00000   14000.00000
  75   56 131Ba   -86683.78906    8398.58691       0.5000   10500.00000   14000.00000
  74   57 131La   -83769.25781    8370.36719       1.5000   10500.00000   14000.00000
  73   58 131Ce   -79715.39062    8333.44922       3.5000   10500.00000   14000.00000
  72   59 131Pr   -74278.26562    8285.97168       1.5000   10500.00000   14000.00000
  71   60 131Nd   -67768.98438    8230.31055       2.5000   10500.00000   14000.00000
  70   61 131Pm   -59737.00000    8163.00000       2.5000   10500.00000   14000.00000
  69   62 131Sm   -50198.00000    8084.00000       2.5000   10500.00000   14000.00000
  68   63 131Eu   -39353.00000    7995.00000       1.5000   10500.00000   14000.00000
  84   48 132Cd   -50720.00000    8171.00000       0.0000   10500.00000   14000.00000
  83   49 132In   -62419.17188    8253.77344       7.0000   10500.00000   14000.00000
  82   50 132Sn   -76554.17188    8354.92969       0.0000   10500.00000   14000.00000
  81   51 132Sb   -79673.57031    8372.63379       4.0000   10500.00000   14000.00000
  80   52 132Te   -85182.17969    8408.44043       0.0000   10500.00000   14000.00000
  79   53 132I    -85699.89062    8406.43457       4.0000   10500.00000   14000.00000
  78   54 132Xe   -89280.47656    8427.63281       0.0000   10500.00000   14000.00000
  77   55 132Cs   -87155.92969    8405.61230       2.0000   10500.00000   14000.00000
  76   56 132Ba   -88434.84375    8409.37305       0.0000   10500.00000   14000.00000
  75   57 132La   -83740.24219    8367.88086       2.0000   10500.00000   14000.00000
  74   58 132Ce   -82474.02344    8352.36230       0.0000   10500.00000   14000.00000
  73   59 132Pr   -75213.48438    8291.43066       2.0000   10500.00000   14000.00000
  72   60 132Nd   -71425.80469    8256.80957       0.0000   10500.00000   14000.00000
  71   61 132Pm   -61711.00000    8177.00000       3.0000   10500.00000   14000.00000
  70   62 132Sm   -55247.00000    8122.00000       0.0000   10500.00000   14000.00000
  84   49 133In   -57930.00000    8219.00000       4.5000   10500.00000   14000.00000
  83   50 133Sn   -70952.60156    8310.67969       3.5000   10500.00000   14000.00000
  82   51 133Sb   -78942.60156    8364.87305       3.5000   10500.00000   14000.00000
  81   52 133Te   -82944.60156    8389.08105       1.5000   10500.00000   14000.00000
  80   53 133I    -85886.60156    8405.31934       3.5000   10500.00000   14000.00000
  79   54 133Xe   -87643.60156    8412.64746       1.5000   10500.00000   14000.00000
  78   55 133Cs   -88070.96094    8409.97754       3.5000   10500.00000   14000.00000
  77   56 133Ba   -87553.46094    8400.20508       0.5000   10500.00000   14000.00000
  76   57 133La   -85494.38281    8378.84082       2.5000   10500.00000   14000.00000
  75   58 133Ce   -82423.22656    8349.86719       0.5000   10500.00000   14000.00000
  74   59 133Pr   -77937.60938    8310.25781       1.5000   10500.00000   14000.00000
  73   60 133Nd   -72332.37500    8262.23145       3.5000   10500.00000   14000.00000
  72   61 133Pm   -65407.64453    8204.28320       1.5000   10500.00000   14000.00000
  71   62 133Sm   -57129.00000    8136.00000       2.5000   10500.00000   14000.00000
  70   63 133Eu   -47283.00000    8056.00000       5.5000   10500.00000   14000.00000
  84   50 134Sn   -66795.78906    8277.87305       0.0000   10500.00000   14000.00000
  83   51 134Sb   -74165.78906    8327.03418       0.0000   10500.00000   14000.00000
  82   52 134Te   -82559.49219    8383.83594       0.0000   10500.00000   14000.00000
  81   53 134I    -84072.49219    8389.28809       4.0000   10500.00000   14000.00000
  80   54 134Xe   -88124.49219    8413.68945       0.0000   10500.00000   14000.00000
  79   55 134Cs   -86891.17969    8398.64648       4.0000   10500.00000   14000.00000
  78   56 134Ba   -88949.86719    8408.17090       0.0000   10500.00000   14000.00000
  77   57 134La   -85218.64844    8374.48828       1.0000   10500.00000   14000.00000
  76   58 134Ce   -84835.98438    8365.79395       0.0000   10500.00000   14000.00000
  75   59 134Pr   -78514.00781    8312.77734       5.0000   10500.00000   14000.00000
  74   60 134Nd   -75646.46094    8285.53809       0.0000   10500.00000   14000.00000
  73   61 134Pm   -66738.75000    8213.22461       5.0000   10500.00000   14000.00000
  72   62 134Sm   -61507.00000    8168.00000       0.0000   10500.00000   14000.00000
  70   64 134Gd   -41573.00000    8008.00000       0.0000   10500.00000   14000.00000
  86   49 135In   -47199.00000    8137.00000       4.5000   10500.00000   14000.00000
  85   50 135Sn   -60799.00000    8232.00000       3.5000   10500.00000   14000.00000
  84   51 135Sb   -69707.63281    8292.11719       3.5000   10500.00000   14000.00000
  83   52 135Te   -77827.63281    8346.46973       3.5000   10500.00000   14000.00000
  82   53 135I    -83789.63281    8384.83789       3.5000   10500.00000   14000.00000
  81   54 135Xe   -86417.03125    8398.50488       1.5000   10500.00000   14000.00000
  80   55 135Cs   -87581.85156    8401.33789       3.5000   10500.00000   14000.00000
  79   56 135Ba   -87850.51562    8397.53320       1.5000   10500.00000   14000.00000
  78   57 135La   -86650.51562    8382.84863       2.5000   10500.00000   14000.00000
  77   58 135Ce   -84624.92969    8362.04883       0.5000   10500.00000   14000.00000
  76   59 135Pr   -80935.89062    8328.92773       1.5000   10500.00000   14000.00000
  75   60 135Nd   -76213.75781    8288.15430       4.5000   10500.00000   14000.00000
  74   61 135Pm   -69977.55469    8236.16504       2.5000   10500.00000   14000.00000
  73   62 135Sm   -62857.21484    8177.62598       3.5000   10500.00000   14000.00000
  72   63 135Eu   -54194.00000    8108.00000       5.5000   10500.00000   14000.00000
  71   64 135Gd   -44181.00000    8028.00000       1.5000   10500.00000   14000.00000
  86   50 136Sn   -56504.00000    8199.00000       0.0000   10500.00000   14000.00000
  85   51 136Sb   -64879.00000    8255.00000       1.0000   10500.00000   14000.00000
  84   52 136Te   -74425.21094    8319.42871       0.0000   10500.00000   14000.00000
  83   53 136I    -79499.29688    8350.98633       1.0000   10500.00000   14000.00000
  82   54 136Xe   -86425.14062    8396.15820       0.0000   10500.00000   14000.00000
  81   55 136Cs   -86338.71094    8389.76953       5.0000   10500.00000   14000.00000
  80   56 136Ba   -88886.93750    8402.75488       0.0000   10500.00000   14000.00000
  79   57 136La   -86036.94531    8376.04590       1.0000   10500.00000   14000.00000
  78   58 136Ce   -86468.32812    8373.46582       0.0000   10500.00000   14000.00000
  77   59 136Pr   -81327.24219    8329.91113       2.0000   10500.00000   14000.00000
  76   60 136Nd   -79199.31250    8308.51172       0.0000   10500.00000   14000.00000
  75   61 136Pm   -71197.96875    8243.92578       5.0000   10500.00000   14000.00000
  74   62 136Sm   -66810.91406    8205.91602       0.0000   10500.00000   14000.00000
  73   63 136Eu   -56262.00000    8123.00000       7.0000   10500.00000   14000.00000
  72   64 136Gd   -49052.00000    8064.00000       0.0000   10500.00000   14000.00000
  87   50 137Sn   -50310.00000    8153.00000       2.5000   10500.00000   14000.00000
  86   51 137Sb   -60258.00000    8220.00000       3.5000   10500.00000   14000.00000
  85   52 137Te   -69561.21875    8282.11426       1.5000   10500.00000   14000.00000
  84   53 137I    -76502.82031    8327.07227       3.5000   10500.00000   14000.00000
  83   54 137Xe   -82379.35156    8364.25586       3.5000   10500.00000   14000.00000
  82   55 137Cs   -86545.60156    8388.95605       3.5000   10500.00000   14000.00000
  81   56 137Ba   -87721.22656    8391.82715       1.5000   10500.00000   14000.00000
  80   57 137La   -87100.65625    8381.58594       3.5000   10500.00000   14000.00000
  79   58 137Ce   -85878.55469    8366.95508       1.5000   10500.00000   14000.00000
  78   59 137Pr   -83177.33594    8341.52832       2.5000   10500.00000   14000.00000
  77   60 137Nd   -79580.19531    8309.56055       0.5000   10500.00000   14000.00000
  76   61 137Pm   -74072.87500    8263.65137       2.5000   10500.00000   14000.00000
  75   62 137Sm   -68025.38281    8213.79785       4.5000   10500.00000   14000.00000
  74   63 137Eu   -60016.00000    8150.00000       5.5000   10500.00000   14000.00000
  73   64 137Gd   -51214.00000    8080.00000       3.5000   10500.00000   14000.00000
  72   65 137Tb   -41004.00000    7999.00000       5.5000   10500.00000   14000.00000
  87   51 138Sb   -55154.00000    8182.00000       2.0000   10500.00000   14000.00000
  86   52 138Te   -65931.00000    8254.00000       0.0000   10500.00000   14000.00000
  85   53 138I    -72330.89062    8294.98828       2.0000   10500.00000   14000.00000
  84   54 138Xe   -80150.89062    8345.98535       0.0000   10500.00000   14000.00000
  83   55 138Cs   -82887.40625    8360.14648       3.0000   10500.00000   14000.00000
  82   56 138Ba   -88261.63281    8393.41992       0.0000   10500.00000   14000.00000
  81   57 138La   -86524.67969    8375.16406       5.0000   10500.00000   14000.00000
  80   58 138Ce   -87568.52344    8377.05859       0.0000   10500.00000   14000.00000
  79   59 138Pr   -83131.52344    8339.23828       1.0000   10500.00000   14000.00000
  78   60 138Nd   -82018.08594    8325.50000       0.0000   10500.00000   14000.00000
  77   61 138Pm   -74940.29688    8268.54297       1.0000   10500.00000   14000.00000
  76   62 138Sm   -71497.78906    8237.92773       0.0000   10500.00000   14000.00000
  75   63 138Eu   -61749.66797    8161.62012       6.0000   10500.00000   14000.00000
  74   64 138Gd   -55778.00000    8113.00000       0.0000   10500.00000   14000.00000
  72   66 138Dy   -34940.00000    7950.00000       0.0000   10500.00000   14000.00000
  88   51 139Sb   -50319.00000    8146.00000       3.5000   10500.00000   14000.00000
  87   52 139Te   -60799.00000    8216.00000       2.5000   10500.00000   14000.00000
  86   53 139I    -68837.89062    8268.24902       3.5000   10500.00000   14000.00000
  85   54 139Xe   -75643.89062    8311.58496       1.5000   10500.00000   14000.00000
  84   55 139Cs   -80700.91406    8342.33789       3.5000   10500.00000   14000.00000
  83   56 139Ba   -84913.74219    8367.01660       3.5000   10500.00000   14000.00000
  82   57 139La   -87231.36719    8378.06348       3.5000   10500.00000   14000.00000
  81   58 139Ce   -86952.49219    8370.42773       1.5000   10500.00000   14000.00000
  80   59 139Pr   -84823.33594    8349.48242       2.5000   10500.00000   14000.00000
  79   60 139Nd   -81991.69531    8323.48242       1.5000   10500.00000   14000.00000
  78   61 139Pm   -77496.50000    8285.51367       2.5000   10500.00000   14000.00000
  77   62 139Sm   -72380.25000    8243.07812       0.5000   10500.00000   14000.00000
  76   63 139Eu   -65398.07031    8187.21777       5.5000   10500.00000   14000.00000
  75   64 139Gd   -57529.00000    8125.00000       4.5000   10500.00000   14000.00000
  74   65 139Tb   -48168.00000    8052.00000       5.5000   10500.00000   14000.00000
  73   66 139Dy   -37688.00000    7971.00000       3.5000   10500.00000   14000.00000
  88   52 140Te   -56961.00000    8188.00000       0.0000   10500.00000   14000.00000
  87   53 140I    -64273.00000    8234.00000       3.0000   10500.00000   14000.00000
  86   54 140Xe   -72990.99219    8290.91895       0.0000   10500.00000   14000.00000
  85   55 140Cs   -77050.99219    8314.33105       1.0000   10500.00000   14000.00000
  84   56 140Ba   -83271.36719    8353.17383       0.0000   10500.00000   14000.00000
  83   57 140La   -84321.03125    8355.08301       3.0000   10500.00000   14000.00000
  82   58 140Ce   -88083.28125    8376.36816       0.0000   10500.00000   14000.00000
  81   59 140Pr   -84695.28125    8346.58008       1.0000   10500.00000   14000.00000
